rank	gene	description	N	n	CpG_transition	other_CG_transition	CG_transversion	AT_mutation	indelPlusnull	p	q
11555	ERBB4	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	1372773	0	0	0	0	0	0	1.00	1.00
11556	ERCC1	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)	344791	0	0	0	0	0	0	1.00	1.00
11557	ERCC3	excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)	807299	0	0	0	0	0	0	1.00	1.00
11558	ERCC8	excision repair cross-complementing rodent repair deficiency, complementation group 8	405672	0	0	0	0	0	0	1.00	1.00
11559	EREG	epiregulin	175411	0	0	0	0	0	0	1.00	1.00
11560	ERF	Ets2 repressor factor	296566	0	0	0	0	0	0	1.00	1.00
11561	ERGIC1	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	282685	0	0	0	0	0	0	1.00	1.00
11562	ERGIC2	ERGIC and golgi 2	330621	0	0	0	0	0	0	1.00	1.00
11563	ERGIC3	ERGIC and golgi 3	364014	0	0	0	0	0	0	1.00	1.00
11564	ERH	enhancer of rudimentary homolog (Drosophila)	110547	0	0	0	0	0	0	1.00	1.00
11565	ERI1		309986	0	0	0	0	0	0	1.00	1.00
11566	ERI2		358572	0	0	0	0	0	0	1.00	1.00
11567	ERICH1	glutamate-rich 1	323988	0	0	0	0	0	0	1.00	1.00
11568	ERLIN1	ER lipid raft associated 1	283710	0	0	0	0	0	0	1.00	1.00
11569	ERLIN2	ER lipid raft associated 2	357904	0	0	0	0	0	0	1.00	1.00
11570	ERMP1	endoplasmic reticulum metallopeptidase 1	809172	0	0	0	0	0	0	1.00	1.00
11571	ERO1LB	ERO1-like beta (S. cerevisiae)	439173	0	0	0	0	0	0	1.00	1.00
11572	ERP27	endoplasmic reticulum protein 27 kDa	287218	0	0	0	0	0	0	1.00	1.00
11573	ERP29	endoplasmic reticulum protein 29	232204	0	0	0	0	0	0	1.00	1.00
11574	ERP44		395219	0	0	0	0	0	0	1.00	1.00
11575	ERV3	endogenous retroviral sequence 3 (includes zinc finger protein H-plk/HPF9)	385009	0	0	0	0	0	0	1.00	1.00
11576	ERVFRDE1		319864	0	0	0	0	0	0	1.00	1.00
11577	ESAM	endothelial cell adhesion molecule	316012	0	0	0	0	0	0	1.00	1.00
11578	ESCO1	establishment of cohesion 1 homolog 1 (S. cerevisiae)	847820	0	0	0	0	0	0	1.00	1.00
11579	ESCO2	establishment of cohesion 1 homolog 2 (S. cerevisiae)	576588	0	0	0	0	0	0	1.00	1.00
11580	ESD	esterase D/formylglutathione hydrolase	289232	0	0	0	0	0	0	1.00	1.00
11581	ESM1	endothelial cell-specific molecule 1	181748	0	0	0	0	0	0	1.00	1.00
11582	ESPNL	espin-like	40384	0	0	0	0	0	0	1.00	1.00
11583	ESR1	estrogen receptor 1	513004	0	0	0	0	0	0	1.00	1.00
11584	ESR2	estrogen receptor 2 (ER beta)	569704	0	0	0	0	0	0	1.00	1.00
11585	ESRP1		601636	0	0	0	0	0	0	1.00	1.00
11586	ESRRA	estrogen-related receptor alpha	201723	0	0	0	0	0	0	1.00	1.00
11587	ESYT2		744553	0	0	0	0	0	0	1.00	1.00
11588	ESYT3		759303	0	0	0	0	0	0	1.00	1.00
11589	ETFA	electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)	327995	0	0	0	0	0	0	1.00	1.00
11590	ETFB	electron-transfer-flavoprotein, beta polypeptide	322238	0	0	0	0	0	0	1.00	1.00
11591	ETHE1	ethylmalonic encephalopathy 1	208680	0	0	0	0	0	0	1.00	1.00
11592	ETNK1	ethanolamine kinase 1	384704	0	0	0	0	0	0	1.00	1.00
11593	ETV2	ets variant gene 2	120194	0	0	0	0	0	0	1.00	1.00
11594	ETV3	ets variant gene 3	179997	0	0	0	0	0	0	1.00	1.00
11595	ETV4	ets variant gene 4 (E1A enhancer binding protein, E1AF)	428138	0	0	0	0	0	0	1.00	1.00
11596	EVC	Ellis van Creveld syndrome	820996	0	0	0	0	0	0	1.00	1.00
11597	EVI5L	ecotropic viral integration site 5-like	218783	0	0	0	0	0	0	1.00	1.00
11598	EVPLL		8044	0	0	0	0	0	0	1.00	1.00
11599	EVX1	even-skipped homeobox 1	137201	0	0	0	0	0	0	1.00	1.00
11600	EXD3		29965	0	0	0	0	0	0	1.00	1.00
11601	EXOC3L2	exocyst complex component 3-like 2	228247	0	0	0	0	0	0	1.00	1.00
11602	EXOC7	exocyst complex component 7	527180	0	0	0	0	0	0	1.00	1.00
11603	EXOC8	exocyst complex component 8	593998	0	0	0	0	0	0	1.00	1.00
11604	EXOG		376888	0	0	0	0	0	0	1.00	1.00
11605	EXOSC1	exosome component 1	199799	0	0	0	0	0	0	1.00	1.00
11606	EXOSC3	exosome component 3	192545	0	0	0	0	0	0	1.00	1.00
11607	EXOSC4	exosome component 4	144724	0	0	0	0	0	0	1.00	1.00
11608	EXOSC5	exosome component 5	220378	0	0	0	0	0	0	1.00	1.00
11609	EXOSC6	exosome component 6	151	0	0	0	0	0	0	1.00	1.00
11610	EXOSC7	exosome component 7	285424	0	0	0	0	0	0	1.00	1.00
11611	EXOSC8	exosome component 8	252989	0	0	0	0	0	0	1.00	1.00
11612	EXOSC9	exosome component 9	434714	0	0	0	0	0	0	1.00	1.00
11613	EXT2	exostoses (multiple) 2	791988	0	0	0	0	0	0	1.00	1.00
11614	EXTL2	exostoses (multiple)-like 2	339028	0	0	0	0	0	0	1.00	1.00
11615	EYA2	eyes absent homolog 2 (Drosophila)	553574	0	0	0	0	0	0	1.00	1.00
11616	EYA4	eyes absent homolog 4 (Drosophila)	719442	0	0	0	0	0	0	1.00	1.00
11617	EZH2	enhancer of zeste homolog 2 (Drosophila)	795191	0	0	0	0	0	0	1.00	1.00
11618	EZR	ezrin	603168	0	0	0	0	0	0	1.00	1.00
11619	F10	coagulation factor X	363950	0	0	0	0	0	0	1.00	1.00
11620	F11	coagulation factor XI (plasma thromboplastin antecedent)	643000	0	0	0	0	0	0	1.00	1.00
11621	F12	coagulation factor XII (Hageman factor)	188520	0	0	0	0	0	0	1.00	1.00
11622	F13B	coagulation factor XIII, B polypeptide	666965	0	0	0	0	0	0	1.00	1.00
11623	F2RL1	coagulation factor II (thrombin) receptor-like 1	372603	0	0	0	0	0	0	1.00	1.00
11624	F2RL3	coagulation factor II (thrombin) receptor-like 3	16084	0	0	0	0	0	0	1.00	1.00
11625	F3	coagulation factor III (thromboplastin, tissue factor)	276333	0	0	0	0	0	0	1.00	1.00
11626	F8A1	coagulation factor VIII-associated (intronic transcript) 1	93612	0	0	0	0	0	0	1.00	1.00
11627	F8A2	coagulation factor VIII-associated (intronic transcript) 2	93612	0	0	0	0	0	0	1.00	1.00
11628	F8A3	coagulation factor VIII-associated (intronic transcript) 3	93612	0	0	0	0	0	0	1.00	1.00
11629	FA2H	fatty acid 2-hydroxylase	254884	0	0	0	0	0	0	1.00	1.00
11630	FABP1	fatty acid binding protein 1, liver	136682	0	0	0	0	0	0	1.00	1.00
11631	FABP12		125402	0	0	0	0	0	0	1.00	1.00
11632	FABP5	fatty acid binding protein 5 (psoriasis-associated)	95769	0	0	0	0	0	0	1.00	1.00
11633	FABP6	fatty acid binding protein 6, ileal (gastrotropin)	178454	0	0	0	0	0	0	1.00	1.00
11634	FABP7	fatty acid binding protein 7, brain	140610	0	0	0	0	0	0	1.00	1.00
11635	FABP9	fatty acid binding protein 9, testis	138507	0	0	0	0	0	0	1.00	1.00
11636	FADS1	fatty acid desaturase 1	342465	0	0	0	0	0	0	1.00	1.00
11637	FAF1	Fas (TNFRSF6) associated factor 1	666851	0	0	0	0	0	0	1.00	1.00
11638	FAH	fumarylacetoacetate hydrolase (fumarylacetoacetase)	447672	0	0	0	0	0	0	1.00	1.00
11639	FAHD2A	fumarylacetoacetate hydrolase domain containing 2A	275065	0	0	0	0	0	0	1.00	1.00
11640	FAHD2B	fumarylacetoacetate hydrolase domain containing 2B	226546	0	0	0	0	0	0	1.00	1.00
11641	FAIM	Fas apoptotic inhibitory molecule	237029	0	0	0	0	0	0	1.00	1.00
11642	FAIM2	Fas apoptotic inhibitory molecule 2	301639	0	0	0	0	0	0	1.00	1.00
11643	FAIM3	Fas apoptotic inhibitory molecule 3	313077	0	0	0	0	0	0	1.00	1.00
11644	FAM100A	family with sequence similarity 100, member A	8970	0	0	0	0	0	0	1.00	1.00
11645	FAM100B	family with sequence similarity 100, member B	15234	0	0	0	0	0	0	1.00	1.00
11646	FAM101A	family with sequence similarity 101, member A	66054	0	0	0	0	0	0	1.00	1.00
11647	FAM101B	family with sequence similarity 101, member B	77370	0	0	0	0	0	0	1.00	1.00
11648	FAM102B	family with sequence similarity 102, member B	349774	0	0	0	0	0	0	1.00	1.00
11649	FAM103A1	family with sequence similarity 103, member A1	90163	0	0	0	0	0	0	1.00	1.00
11650	FAM104A	family with sequence similarity 104, member A	78957	0	0	0	0	0	0	1.00	1.00
11651	FAM104B	family with sequence similarity 104, member B	142633	0	0	0	0	0	0	1.00	1.00
11652	FAM107A	family with sequence similarity 107, member A	144642	0	0	0	0	0	0	1.00	1.00
11653	FAM107B	family with sequence similarity 107, member B	319661	0	0	0	0	0	0	1.00	1.00
11654	FAM108A1	family with sequence similarity 108, member A1	15433	0	0	0	0	0	0	1.00	1.00
11655	FAM108B1	family with sequence similarity 108, member B1	292779	0	0	0	0	0	0	1.00	1.00
11656	FAM108C1	family with sequence similarity 108, member C1	126061	0	0	0	0	0	0	1.00	1.00
11657	FAM109B	family with sequence similarity 109, member B	143149	0	0	0	0	0	0	1.00	1.00
11658	FAM110A	family with sequence similarity 110, member A	55252	0	0	0	0	0	0	1.00	1.00
11659	FAM110B	family with sequence similarity 110, member B	307868	0	0	0	0	0	0	1.00	1.00
11660	FAM110C	family with sequence similarity 110, member C	59013	0	0	0	0	0	0	1.00	1.00
11661	FAM114A2		527372	0	0	0	0	0	0	1.00	1.00
11662	FAM115A	family with sequence similarity 115, member A	402160	0	0	0	0	0	0	1.00	1.00
11663	FAM115C		352464	0	0	0	0	0	0	1.00	1.00
11664	FAM116B	family with sequence similarity 116, member B	21813	0	0	0	0	0	0	1.00	1.00
11665	FAM118A	family with sequence similarity 118, member A	341572	0	0	0	0	0	0	1.00	1.00
11666	FAM119A	family with sequence similarity 119, member A	213035	0	0	0	0	0	0	1.00	1.00
11667	FAM119B	family with sequence similarity 119, member B	261030	0	0	0	0	0	0	1.00	1.00
11668	FAM120A	family with sequence similarity 120A	860080	0	0	0	0	0	0	1.00	1.00
11669	FAM120AOS	family with sequence similarity 120A opposite strand	84285	0	0	0	0	0	0	1.00	1.00
11670	FAM122A	family with sequence similarity 122A	237925	0	0	0	0	0	0	1.00	1.00
11671	FAM122B	family with sequence similarity 122B	261044	0	0	0	0	0	0	1.00	1.00
11672	FAM122C	family with sequence similarity 122C	207349	0	0	0	0	0	0	1.00	1.00
11673	FAM124A	family with sequence similarity 124A	415924	0	0	0	0	0	0	1.00	1.00
11674	FAM125A	family with sequence similarity 125, member A	220108	0	0	0	0	0	0	1.00	1.00
11675	FAM125B	family with sequence similarity 125, member B	275834	0	0	0	0	0	0	1.00	1.00
11676	FAM126A	family with sequence similarity 126, member A	533511	0	0	0	0	0	0	1.00	1.00
11677	FAM127A	family with sequence similarity 127, member A	96950	0	0	0	0	0	0	1.00	1.00
11678	FAM127B	family with sequence similarity 127, member B	93807	0	0	0	0	0	0	1.00	1.00
11679	FAM127C	family with sequence similarity 127, member C	98571	0	0	0	0	0	0	1.00	1.00
11680	FAM128A	family with sequence similarity 128, member A	43772	0	0	0	0	0	0	1.00	1.00
11681	FAM128B	family with sequence similarity 128, member B	39240	0	0	0	0	0	0	1.00	1.00
11682	FAM129B	family with sequence similarity 129, member B	533911	0	0	0	0	0	0	1.00	1.00
11683	FAM131A	family with sequence similarity 131, member A	246762	0	0	0	0	0	0	1.00	1.00
11684	FAM131C	family with sequence similarity 131, member C	88962	0	0	0	0	0	0	1.00	1.00
11685	FAM133A	family with sequence similarity 133, member A	196191	0	0	0	0	0	0	1.00	1.00
11686	FAM135A	family with sequence similarity 135, member A	1323758	0	0	0	0	0	0	1.00	1.00
11687	FAM136A	family with sequence similarity 136, member A	124267	0	0	0	0	0	0	1.00	1.00
11688	FAM136B	family with sequence similarity 136, member B	7406	0	0	0	0	0	0	1.00	1.00
11689	FAM13B		936144	0	0	0	0	0	0	1.00	1.00
11690	FAM149A	family with sequence similarity 149, member A	470554	0	0	0	0	0	0	1.00	1.00
11691	FAM149B1	family with sequence similarity 149, member B1	66664	0	0	0	0	0	0	1.00	1.00
11692	FAM150A	family with sequence similarity 150, member A	70071	0	0	0	0	0	0	1.00	1.00
11693	FAM150B	family with sequence similarity 150, member B	58908	0	0	0	0	0	0	1.00	1.00
11694	FAM151A	family with sequence similarity 151, member A	569664	0	0	0	0	0	0	1.00	1.00
11695	FAM153A	family with sequence similarity 153, member A	149832	0	0	0	0	0	0	1.00	1.00
11696	FAM153B	family with sequence similarity 153, member B	182937	0	0	0	0	0	0	1.00	1.00
11697	FAM153C	family with sequence similarity 153, member C	80311	0	0	0	0	0	0	1.00	1.00
11698	FAM154A	family with sequence similarity 154, member A	483772	0	0	0	0	0	0	1.00	1.00
11699	FAM154B	family with sequence similarity 154, member B	359222	0	0	0	0	0	0	1.00	1.00
11700	FAM155A		356943	0	0	0	0	0	0	1.00	1.00
11701	FAM156A		113576	0	0	0	0	0	0	1.00	1.00
11702	FAM156B		113576	0	0	0	0	0	0	1.00	1.00
11703	FAM157A		9081	0	0	0	0	0	0	1.00	1.00
11704	FAM157B		3400	0	0	0	0	0	0	1.00	1.00
11705	FAM158A		197144	0	0	0	0	0	0	1.00	1.00
11706	FAM159A		147696	0	0	0	0	0	0	1.00	1.00
11707	FAM160B1		779859	0	0	0	0	0	0	1.00	1.00
11708	FAM162A		134165	0	0	0	0	0	0	1.00	1.00
11709	FAM162B		95680	0	0	0	0	0	0	1.00	1.00
11710	FAM163B		22738	0	0	0	0	0	0	1.00	1.00
11711	FAM165B		61289	0	0	0	0	0	0	1.00	1.00
11712	FAM167A		167305	0	0	0	0	0	0	1.00	1.00
11713	FAM168A		217419	0	0	0	0	0	0	1.00	1.00
11714	FAM168B		137704	0	0	0	0	0	0	1.00	1.00
11715	FAM169A		586493	0	0	0	0	0	0	1.00	1.00
11716	FAM169B		173581	0	0	0	0	0	0	1.00	1.00
11717	FAM170B		18522	0	0	0	0	0	0	1.00	1.00
11718	FAM171A2		9882	0	0	0	0	0	0	1.00	1.00
11719	FAM172A		392781	0	0	0	0	0	0	1.00	1.00
11720	FAM173A		89	0	0	0	0	0	0	1.00	1.00
11721	FAM173B		208477	0	0	0	0	0	0	1.00	1.00
11722	FAM174A		127352	0	0	0	0	0	0	1.00	1.00
11723	FAM174B		59322	0	0	0	0	0	0	1.00	1.00
11724	FAM175A		360184	0	0	0	0	0	0	1.00	1.00
11725	FAM175B		411182	0	0	0	0	0	0	1.00	1.00
11726	FAM176A		152240	0	0	0	0	0	0	1.00	1.00
11727	FAM176B		41183	0	0	0	0	0	0	1.00	1.00
11728	FAM177A1		181689	0	0	0	0	0	0	1.00	1.00
11729	FAM178A		1107219	0	0	0	0	0	0	1.00	1.00
11730	FAM179B		1662016	0	0	0	0	0	0	1.00	1.00
11731	FAM181A		259838	0	0	0	0	0	0	1.00	1.00
11732	FAM181B		50866	0	0	0	0	0	0	1.00	1.00
11733	FAM184B		100157	0	0	0	0	0	0	1.00	1.00
11734	FAM185A		18371	0	0	0	0	0	0	1.00	1.00
11735	FAM186A		245719	0	0	0	0	0	0	1.00	1.00
11736	FAM188A		457280	0	0	0	0	0	0	1.00	1.00
11737	FAM188B		656244	0	0	0	0	0	0	1.00	1.00
11738	FAM189A1		25124	0	0	0	0	0	0	1.00	1.00
11739	FAM189A2		443684	0	0	0	0	0	0	1.00	1.00
11740	FAM189B		468192	0	0	0	0	0	0	1.00	1.00
11741	FAM18A	family with sequence similarity 18, member A	157893	0	0	0	0	0	0	1.00	1.00
11742	FAM18B	family with sequence similarity 18, member B	160592	0	0	0	0	0	0	1.00	1.00
11743	FAM18B2	family with sequence similarity 18, member B2	185885	0	0	0	0	0	0	1.00	1.00
11744	FAM192A		230026	0	0	0	0	0	0	1.00	1.00
11745	FAM193B		402327	0	0	0	0	0	0	1.00	1.00
11746	FAM194B		85021	0	0	0	0	0	0	1.00	1.00
11747	FAM195A		4944	0	0	0	0	0	0	1.00	1.00
11748	FAM196B		64062	0	0	0	0	0	0	1.00	1.00
11749	FAM198A		52416	0	0	0	0	0	0	1.00	1.00
11750	FAM198B		509146	0	0	0	0	0	0	1.00	1.00
11751	FAM19A1	family with sequence similarity 19 (chemokine (C-C motif)-like), member A1	103056	0	0	0	0	0	0	1.00	1.00
11752	FAM19A4	family with sequence similarity 19 (chemokine (C-C motif)-like), member A4	150844	0	0	0	0	0	0	1.00	1.00
11753	FAM19A5	family with sequence similarity 19 (chemokine (C-C motif)-like), member A5	36011	0	0	0	0	0	0	1.00	1.00
11754	FAM200B		27424	0	0	0	0	0	0	1.00	1.00
11755	FAM20A	family with sequence similarity 20, member A	412135	0	0	0	0	0	0	1.00	1.00
11756	FAM20C	family with sequence similarity 20, member C	21573	0	0	0	0	0	0	1.00	1.00
11757	FAM22A	family with sequence similarity 22, member A	216434	0	0	0	0	0	0	1.00	1.00
11758	FAM22D	family with sequence similarity 22, member D	169622	0	0	0	0	0	0	1.00	1.00
11759	FAM22F	family with sequence similarity 22, member F	271912	0	0	0	0	0	0	1.00	1.00
11760	FAM22G	family with sequence similarity 22, member G	218362	0	0	0	0	0	0	1.00	1.00
11761	FAM23A	family with sequence similarity 23, member A	171287	0	0	0	0	0	0	1.00	1.00
11762	FAM24B	family with sequence similarity 24, member B	100183	0	0	0	0	0	0	1.00	1.00
11763	FAM25A	family with sequence similarity 25, member A	2221	0	0	0	0	0	0	1.00	1.00
11764	FAM26D	family with sequence similarity 26, member D	129022	0	0	0	0	0	0	1.00	1.00
11765	FAM26E	family with sequence similarity 26, member E	303818	0	0	0	0	0	0	1.00	1.00
11766	FAM26F	family with sequence similarity 26, member F	140020	0	0	0	0	0	0	1.00	1.00
11767	FAM32A	family with sequence similarity 32, member A	59493	0	0	0	0	0	0	1.00	1.00
11768	FAM36A	family with sequence similarity 36, member A	93840	0	0	0	0	0	0	1.00	1.00
11769	FAM38A	family with sequence similarity 38, member A	600	0	0	0	0	0	0	1.00	1.00
11770	FAM3A	family with sequence similarity 3, member A	113237	0	0	0	0	0	0	1.00	1.00
11771	FAM3B	family with sequence similarity 3, member B	238139	0	0	0	0	0	0	1.00	1.00
11772	FAM3C	family with sequence similarity 3, member C	216830	0	0	0	0	0	0	1.00	1.00
11773	FAM3D	family with sequence similarity 3, member D	235840	0	0	0	0	0	0	1.00	1.00
11774	FAM40B	family with sequence similarity 40, member B	820270	0	0	0	0	0	0	1.00	1.00
11775	FAM43A	family with sequence similarity 43, member A	105094	0	0	0	0	0	0	1.00	1.00
11776	FAM43B	family with sequence similarity 43, member B	56495	0	0	0	0	0	0	1.00	1.00
11777	FAM46A	family with sequence similarity 46, member A	347246	0	0	0	0	0	0	1.00	1.00
11778	FAM46B	family with sequence similarity 46, member B	217976	0	0	0	0	0	0	1.00	1.00
11779	FAM46D	family with sequence similarity 46, member D	380500	0	0	0	0	0	0	1.00	1.00
11780	FAM47E		44192	0	0	0	0	0	0	1.00	1.00
11781	FAM48A	family with sequence similarity 48, member A	770195	0	0	0	0	0	0	1.00	1.00
11782	FAM48B1	family with sequence similarity 48, member B1	550639	0	0	0	0	0	0	1.00	1.00
11783	FAM49A	family with sequence similarity 49, member A	343563	0	0	0	0	0	0	1.00	1.00
11784	FAM49B	family with sequence similarity 49, member B	337832	0	0	0	0	0	0	1.00	1.00
11785	FAM50B	family with sequence similarity 50, member B	199701	0	0	0	0	0	0	1.00	1.00
11786	FAM53A	family with sequence similarity 53, member A	147533	0	0	0	0	0	0	1.00	1.00
11787	FAM54A	family with sequence similarity 54, member A	385225	0	0	0	0	0	0	1.00	1.00
11788	FAM54B	family with sequence similarity 54, member B	258412	0	0	0	0	0	0	1.00	1.00
11789	FAM55A	family with sequence similarity 55, member A	419527	0	0	0	0	0	0	1.00	1.00
11790	FAM55B	family with sequence similarity 55, member B	66874	0	0	0	0	0	0	1.00	1.00
11791	FAM57A	family with sequence similarity 57, member A	186848	0	0	0	0	0	0	1.00	1.00
11792	FAM57B	family with sequence similarity 57, member B	124334	0	0	0	0	0	0	1.00	1.00
11793	FAM58A	family with sequence similarity 58, member A	170876	0	0	0	0	0	0	1.00	1.00
11794	FAM59B	family with sequence similarity 59, member B	33678	0	0	0	0	0	0	1.00	1.00
11795	FAM60A	family with sequence similarity 60, member A	217882	0	0	0	0	0	0	1.00	1.00
11796	FAM64A	family with sequence similarity 64, member A	175064	0	0	0	0	0	0	1.00	1.00
11797	FAM69A	family with sequence similarity 69, member A	136409	0	0	0	0	0	0	1.00	1.00
11798	FAM69B	family with sequence similarity 69, member B	139786	0	0	0	0	0	0	1.00	1.00
11799	FAM70A	family with sequence similarity 70, member A	367333	0	0	0	0	0	0	1.00	1.00
11800	FAM71C	family with sequence similarity 71, member C	246512	0	0	0	0	0	0	1.00	1.00
11801	FAM71D	family with sequence similarity 71, member D	338160	0	0	0	0	0	0	1.00	1.00
11802	FAM71E1	family with sequence similarity 71, member E1	89038	0	0	0	0	0	0	1.00	1.00
11803	FAM71E2	family with sequence similarity 71, member E2	33488	0	0	0	0	0	0	1.00	1.00
11804	FAM71F1	family with sequence similarity 71, member F1	357708	0	0	0	0	0	0	1.00	1.00
11805	FAM71F2	family with sequence similarity 71, member F2	248875	0	0	0	0	0	0	1.00	1.00
11806	FAM72A	family with sequence similarity 72, member A	79666	0	0	0	0	0	0	1.00	1.00
11807	FAM72B	family with sequence similarity 72, member B	79397	0	0	0	0	0	0	1.00	1.00
11808	FAM73B	family with sequence similarity 73, member B	376985	0	0	0	0	0	0	1.00	1.00
11809	FAM75A1	family with sequence similarity 75, member A1	798525	0	0	0	0	0	0	1.00	1.00
11810	FAM75A2	family with sequence similarity 75, member A2	798525	0	0	0	0	0	0	1.00	1.00
11811	FAM75A5	family with sequence similarity 75, member A5	402802	0	0	0	0	0	0	1.00	1.00
11812	FAM75A6	family with sequence similarity 75, member A6	10701	0	0	0	0	0	0	1.00	1.00
11813	FAM75C1	family with sequence similarity 75, member C1	22115	0	0	0	0	0	0	1.00	1.00
11814	FAM76A	family with sequence similarity 76, member A	280672	0	0	0	0	0	0	1.00	1.00
11815	FAM76B	family with sequence similarity 76, member B	274910	0	0	0	0	0	0	1.00	1.00
11816	FAM78B	family with sequence similarity 78, member B	220500	0	0	0	0	0	0	1.00	1.00
11817	FAM82A1		586607	0	0	0	0	0	0	1.00	1.00
11818	FAM82A2		446119	0	0	0	0	0	0	1.00	1.00
11819	FAM82B	family with sequence similarity 82, member B	268577	0	0	0	0	0	0	1.00	1.00
11820	FAM83C	family with sequence similarity 83, member C	571172	0	0	0	0	0	0	1.00	1.00
11821	FAM83E	family with sequence similarity 83, member E	173464	0	0	0	0	0	0	1.00	1.00
11822	FAM83F	family with sequence similarity 83, member F	210329	0	0	0	0	0	0	1.00	1.00
11823	FAM83H	family with sequence similarity 83, member H	234794	0	0	0	0	0	0	1.00	1.00
11824	FAM84A	family with sequence similarity 84, member A	128849	0	0	0	0	0	0	1.00	1.00
11825	FAM86B2	family with sequence similarity 86, member B2	2150	0	0	0	0	0	0	1.00	1.00
11826	FAM86C	family with sequence similarity 86, member C	133086	0	0	0	0	0	0	1.00	1.00
11827	FAM89A	family with sequence similarity 89, member A	90337	0	0	0	0	0	0	1.00	1.00
11828	FAM89B	family with sequence similarity 89, member B	56847	0	0	0	0	0	0	1.00	1.00
11829	FAM90A1	family with sequence similarity 90, member A1	311203	0	0	0	0	0	0	1.00	1.00
11830	FAM92A1	family with sequence similarity 92, member A1	186098	0	0	0	0	0	0	1.00	1.00
11831	FAM92B	family with sequence similarity 92, member B	268312	0	0	0	0	0	0	1.00	1.00
11832	FAM96A	family with sequence similarity 96, member A	147305	0	0	0	0	0	0	1.00	1.00
11833	FAM96B	family with sequence similarity 96, member B	72966	0	0	0	0	0	0	1.00	1.00
11834	FAM98C	family with sequence similarity 98, member C	199081	0	0	0	0	0	0	1.00	1.00
11835	FAM9A	family with sequence similarity 9, member A	209449	0	0	0	0	0	0	1.00	1.00
11836	FAM9B	family with sequence similarity 9, member B	179541	0	0	0	0	0	0	1.00	1.00
11837	FAM9C	family with sequence similarity 9, member C	163666	0	0	0	0	0	0	1.00	1.00
11838	FANCB	Fanconi anemia, complementation group B	811354	0	0	0	0	0	0	1.00	1.00
11839	FANCF	Fanconi anemia, complementation group F	336440	0	0	0	0	0	0	1.00	1.00
11840	FANK1	fibronectin type III and ankyrin repeat domains 1	361619	0	0	0	0	0	0	1.00	1.00
11841	FAR2		541088	0	0	0	0	0	0	1.00	1.00
11842	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial	471648	0	0	0	0	0	0	1.00	1.00
11843	FAS	Fas (TNF receptor superfamily, member 6)	338400	0	0	0	0	0	0	1.00	1.00
11844	FASLG	Fas ligand (TNF superfamily, member 6)	293212	0	0	0	0	0	0	1.00	1.00
11845	FASN	fatty acid synthase	89026	0	0	0	0	0	0	1.00	1.00
11846	FASTK	Fas-activated serine/threonine kinase	191746	0	0	0	0	0	0	1.00	1.00
11847	FASTKD5	FAST kinase domains 5	753329	0	0	0	0	0	0	1.00	1.00
11848	FATE1	fetal and adult testis expressed 1	157883	0	0	0	0	0	0	1.00	1.00
11849	FAU	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed	107303	0	0	0	0	0	0	1.00	1.00
11850	FBLIM1	filamin binding LIM protein 1	333469	0	0	0	0	0	0	1.00	1.00
11851	FBP1	fructose-1,6-bisphosphatase 1	305958	0	0	0	0	0	0	1.00	1.00
11852	FBP2	fructose-1,6-bisphosphatase 2	342918	0	0	0	0	0	0	1.00	1.00
11853	FBRSL1		7884	0	0	0	0	0	0	1.00	1.00
11854	FBXL12	F-box and leucine-rich repeat protein 12	167859	0	0	0	0	0	0	1.00	1.00
11855	FBXL13	F-box and leucine-rich repeat protein 13	727382	0	0	0	0	0	0	1.00	1.00
11856	FBXL14	F-box and leucine-rich repeat protein 14	283035	0	0	0	0	0	0	1.00	1.00
11857	FBXL15	F-box and leucine-rich repeat protein 15	28879	0	0	0	0	0	0	1.00	1.00
11858	FBXL16	F-box and leucine-rich repeat protein 16	55497	0	0	0	0	0	0	1.00	1.00
11859	FBXL17	F-box and leucine-rich repeat protein 17	325461	0	0	0	0	0	0	1.00	1.00
11860	FBXL2	F-box and leucine-rich repeat protein 2	453368	0	0	0	0	0	0	1.00	1.00
11861	FBXL22	F-box and leucine-rich repeat protein 22	124902	0	0	0	0	0	0	1.00	1.00
11862	FBXL3	F-box and leucine-rich repeat protein 3	415656	0	0	0	0	0	0	1.00	1.00
11863	FBXL4	F-box and leucine-rich repeat protein 4	636663	0	0	0	0	0	0	1.00	1.00
11864	FBXL6	F-box and leucine-rich repeat protein 6	132824	0	0	0	0	0	0	1.00	1.00
11865	FBXL8	F-box and leucine-rich repeat protein 8	9827	0	0	0	0	0	0	1.00	1.00
11866	FBXO10	F-box protein 10	819958	0	0	0	0	0	0	1.00	1.00
11867	FBXO11	F-box protein 11	895058	0	0	0	0	0	0	1.00	1.00
11868	FBXO17	F-box protein 17	180105	0	0	0	0	0	0	1.00	1.00
11869	FBXO2	F-box protein 2	93809	0	0	0	0	0	0	1.00	1.00
